MRNA,Date
18.600000381469727,2018-12-07
18.799999237060547,2018-12-10
18.010000228881836,2018-12-11
18.68000030517578,2018-12-12
18.760000228881836,2018-12-13
18.31999969482422,2018-12-14
17.0,2018-12-17
17.0,2018-12-18
16.18000030517578,2018-12-19
15.5,2018-12-20
14.470000267028809,2018-12-21
14.029999732971191,2018-12-24
13.520000457763672,2018-12-26
14.649999618530273,2018-12-27
14.149999618530273,2018-12-28
15.270000457763672,2018-12-31
15.329999923706055,2019-01-02
15.5,2019-01-03
16.959999084472656,2019-01-04
16.270000457763672,2019-01-07
16.950000762939453,2019-01-08
16.329999923706055,2019-01-09
16.479999542236328,2019-01-10
17.0,2019-01-11
16.739999771118164,2019-01-14
16.59000015258789,2019-01-15
16.260000228881836,2019-01-16
16.309999465942383,2019-01-17
16.690000534057617,2019-01-18
15.5600004196167,2019-01-22
14.789999961853027,2019-01-23
14.640000343322754,2019-01-24
14.90999984741211,2019-01-25
14.449999809265137,2019-01-28
14.630000114440918,2019-01-29
15.130000114440918,2019-01-30
16.600000381469727,2019-01-31
16.219999313354492,2019-02-01
16.270000457763672,2019-02-04
17.18000030517578,2019-02-05
18.139999389648438,2019-02-06
17.049999237060547,2019-02-07
17.989999771118164,2019-02-08
18.170000076293945,2019-02-11
18.690000534057617,2019-02-12
18.530000686645508,2019-02-13
19.65999984741211,2019-02-14
21.440000534057617,2019-02-15
20.829999923706055,2019-02-19
19.920000076293945,2019-02-20
19.34000015258789,2019-02-21
19.8799991607666,2019-02-22
21.649999618530273,2019-02-25
23.700000762939453,2019-02-26
22.100000381469727,2019-02-27
22.600000381469727,2019-02-28
22.270000457763672,2019-03-01
21.1200008392334,2019-03-04
21.3700008392334,2019-03-05
20.649999618530273,2019-03-06
20.59000015258789,2019-03-07
20.93000030517578,2019-03-08
20.43000030517578,2019-03-11
19.260000228881836,2019-03-12
19.969999313354492,2019-03-13
20.81999969482422,2019-03-14
21.81999969482422,2019-03-15
22.18000030517578,2019-03-18
20.350000381469727,2019-03-19
20.0,2019-03-20
19.34000015258789,2019-03-21
19.0,2019-03-22
19.399999618530273,2019-03-25
19.899999618530273,2019-03-26
19.270000457763672,2019-03-27
19.65999984741211,2019-03-28
20.350000381469727,2019-03-29
20.59000015258789,2019-04-01
19.700000762939453,2019-04-02
21.329999923706055,2019-04-03
23.079999923706055,2019-04-04
25.959999084472656,2019-04-05
27.229999542236328,2019-04-08
26.81999969482422,2019-04-09
26.799999237060547,2019-04-10
25.729999542236328,2019-04-11
24.610000610351562,2019-04-12
25.84000015258789,2019-04-15
23.780000686645508,2019-04-16
23.5,2019-04-17
22.510000228881836,2019-04-18
23.6299991607666,2019-04-22
24.700000762939453,2019-04-23
25.760000228881836,2019-04-24
