VXRT,Date
21.780000686645508,2016-01-04
23.979999542236328,2016-01-05
22.989999771118164,2016-01-06
22.0,2016-01-07
22.440000534057617,2016-01-08
20.459999084472656,2016-01-11
21.559999465942383,2016-01-12
19.030000686645508,2016-01-13
19.25,2016-01-14
18.149999618530273,2016-01-15
17.81999969482422,2016-01-19
18.040000915527344,2016-01-20
18.920000076293945,2016-01-21
19.030000686645508,2016-01-22
18.59000015258789,2016-01-25
18.260000228881836,2016-01-26
18.260000228881836,2016-01-27
18.479999542236328,2016-01-28
17.709999084472656,2016-01-29
18.040000915527344,2016-02-01
18.260000228881836,2016-02-02
17.709999084472656,2016-02-03
18.260000228881836,2016-02-04
16.610000610351562,2016-02-05
15.949999809265137,2016-02-08
14.079999923706055,2016-02-09
15.619999885559082,2016-02-10
15.069999694824219,2016-02-11
14.520000457763672,2016-02-12
15.180000305175781,2016-02-16
18.149999618530273,2016-02-17
18.149999618530273,2016-02-18
18.149999618530273,2016-02-19
17.93000030517578,2016-02-22
17.15999984741211,2016-02-23
16.829999923706055,2016-02-24
16.719999313354492,2016-02-25
17.709999084472656,2016-02-26
16.940000534057617,2016-02-29
17.270000457763672,2016-03-01
18.149999618530273,2016-03-02
17.709999084472656,2016-03-03
17.270000457763672,2016-03-04
17.049999237060547,2016-03-07
16.940000534057617,2016-03-08
16.940000534057617,2016-03-09
16.940000534057617,2016-03-10
17.049999237060547,2016-03-11
17.15999984741211,2016-03-14
17.600000381469727,2016-03-15
16.829999923706055,2016-03-16
17.049999237060547,2016-03-17
17.600000381469727,2016-03-18
16.610000610351562,2016-03-21
16.610000610351562,2016-03-22
16.5,2016-03-23
16.719999313354492,2016-03-24
16.5,2016-03-28
16.5,2016-03-29
16.829999923706055,2016-03-30
16.5,2016-03-31
17.489999771118164,2016-04-01
17.3799991607666,2016-04-04
16.719999313354492,2016-04-05
16.829999923706055,2016-04-06
16.940000534057617,2016-04-07
16.829999923706055,2016-04-08
17.489999771118164,2016-04-11
17.049999237060547,2016-04-12
17.049999237060547,2016-04-13
17.709999084472656,2016-04-14
16.059999465942383,2016-04-15
14.960000038146973,2016-04-18
16.829999923706055,2016-04-19
16.829999923706055,2016-04-20
17.049999237060547,2016-04-21
16.5,2016-04-22
17.489999771118164,2016-04-25
16.829999923706055,2016-04-26
16.5,2016-04-27
17.3799991607666,2016-04-28
17.489999771118164,2016-04-29
17.600000381469727,2016-05-02
17.270000457763672,2016-05-03
17.049999237060547,2016-05-04
17.81999969482422,2016-05-05
17.709999084472656,2016-05-06
17.709999084472656,2016-05-09
