REGN,Date
392.6400146484375,2016-05-23
397.70001220703125,2016-05-24
394.489990234375,2016-05-25
393.5400085449219,2016-05-26
396.2200012207031,2016-05-27
398.92999267578125,2016-05-31
404.30999755859375,2016-06-01
407.1300048828125,2016-06-02
400.75,2016-06-03
403.8900146484375,2016-06-06
394.4700012207031,2016-06-07
388.9700012207031,2016-06-08
381.0799865722656,2016-06-09
372.0299987792969,2016-06-10
367.2300109863281,2016-06-13
366.489990234375,2016-06-14
367.9100036621094,2016-06-15
366.5199890136719,2016-06-16
354.2099914550781,2016-06-17
352.6600036621094,2016-06-20
345.1400146484375,2016-06-21
351.9200134277344,2016-06-22
357.1400146484375,2016-06-23
339.4800109863281,2016-06-24
331.04998779296875,2016-06-27
339.7799987792969,2016-06-28
347.8599853515625,2016-06-29
349.2300109863281,2016-06-30
358.5,2016-07-01
359.6099853515625,2016-07-05
371.57000732421875,2016-07-06
371.45001220703125,2016-07-07
378.3500061035156,2016-07-08
375.739990234375,2016-07-11
368.75,2016-07-12
364.5,2016-07-13
365.2699890136719,2016-07-14
373.80999755859375,2016-07-15
381.5400085449219,2016-07-18
377.1499938964844,2016-07-19
384.70001220703125,2016-07-20
389.5199890136719,2016-07-21
391.3399963378906,2016-07-22
394.8999938964844,2016-07-25
398.2699890136719,2016-07-26
415.0899963378906,2016-07-27
411.0400085449219,2016-07-28
425.1199951171875,2016-07-29
434.0,2016-08-01
434.8999938964844,2016-08-02
441.3699951171875,2016-08-03
433.3999938964844,2016-08-04
423.0,2016-08-05
421.0400085449219,2016-08-08
419.239990234375,2016-08-09
415.4800109863281,2016-08-10
421.3500061035156,2016-08-11
421.5400085449219,2016-08-12
422.8699951171875,2016-08-15
413.6400146484375,2016-08-16
411.67999267578125,2016-08-17
410.8699951171875,2016-08-18
404.29998779296875,2016-08-19
418.6499938964844,2016-08-22
420.6099853515625,2016-08-23
405.25,2016-08-24
400.25,2016-08-25
402.9700012207031,2016-08-26
399.3800048828125,2016-08-29
395.2200012207031,2016-08-30
392.54998779296875,2016-08-31
393.3999938964844,2016-09-01
388.6400146484375,2016-09-02
398.30999755859375,2016-09-06
399.8900146484375,2016-09-07
401.8299865722656,2016-09-08
384.42999267578125,2016-09-09
399.510009765625,2016-09-12
390.989990234375,2016-09-13
397.55999755859375,2016-09-14
402.75,2016-09-15
408.6300048828125,2016-09-16
402.8299865722656,2016-09-19
406.239990234375,2016-09-20
406.5199890136719,2016-09-21
408.010009765625,2016-09-22
410.3900146484375,2016-09-23
404.1199951171875,2016-09-26
421.45001220703125,2016-09-27
419.1000061035156,2016-09-28
406.3599853515625,2016-09-29
402.0199890136719,2016-09-30
402.82000732421875,2016-10-03
397.20001220703125,2016-10-04
392.6000061035156,2016-10-05
388.6000061035156,2016-10-06
390.05999755859375,2016-10-07
393.8599853515625,2016-10-10
386.04998779296875,2016-10-11
373.4700012207031,2016-10-12
375.7900085449219,2016-10-13
371.67999267578125,2016-10-14
366.7300109863281,2016-10-17
371.5299987792969,2016-10-18
368.3599853515625,2016-10-19
371.239990234375,2016-10-20
363.5299987792969,2016-10-21
362.25,2016-10-24
366.92999267578125,2016-10-25
363.0799865722656,2016-10-26
365.3500061035156,2016-10-27
355.8299865722656,2016-10-28
345.0199890136719,2016-10-31
346.54998779296875,2016-11-01
343.6600036621094,2016-11-02
336.010009765625,2016-11-03
341.3900146484375,2016-11-04
365.3900146484375,2016-11-07
367.7699890136719,2016-11-08
418.4200134277344,2016-11-09
423.0,2016-11-10
419.7900085449219,2016-11-11
444.5199890136719,2016-11-14
428.6499938964844,2016-11-15
420.0799865722656,2016-11-16
404.55999755859375,2016-11-17
397.4800109863281,2016-11-18
405.4800109863281,2016-11-21
398.9700012207031,2016-11-22
402.4100036621094,2016-11-23
398.1600036621094,2016-11-25
390.3800048828125,2016-11-28
387.260009765625,2016-11-29
379.239990234375,2016-11-30
375.55999755859375,2016-12-01
372.7099914550781,2016-12-02
369.82000732421875,2016-12-05
368.95001220703125,2016-12-06
362.010009765625,2016-12-07
369.1499938964844,2016-12-08
372.8299865722656,2016-12-09
387.1000061035156,2016-12-12
382.0,2016-12-13
381.5,2016-12-14
378.010009765625,2016-12-15
378.8500061035156,2016-12-16
371.75,2016-12-19
371.0199890136719,2016-12-20
365.05999755859375,2016-12-21
372.3800048828125,2016-12-22
381.7799987792969,2016-12-23
385.95001220703125,2016-12-27
378.75,2016-12-28
373.7200012207031,2016-12-29
367.0899963378906,2016-12-30
379.70001220703125,2017-01-03
383.1099853515625,2017-01-04
380.9200134277344,2017-01-05
358.67999267578125,2017-01-06
355.05999755859375,2017-01-09
373.0,2017-01-10
364.4700012207031,2017-01-11
364.44000244140625,2017-01-12
