GILD,Date
86.0766830444336,2016-01-04
87.17448425292969,2016-01-05
88.08786010742188,2016-01-06
84.53097534179688,2016-01-07
84.70661163330078,2016-01-08
84.75053405761719,2016-01-11
85.27745819091797,2016-01-12
81.2726821899414,2016-01-13
81.69425201416016,2016-01-14
80.65790557861328,2016-01-15
78.95411682128906,2016-01-19
79.52497863769531,2016-01-20
78.04952239990234,2016-01-21
80.64913940429688,2016-01-22
79.57767486572266,2016-01-25
80.98286437988281,2016-01-26
78.71700286865234,2016-01-27
76.8726806640625,2016-01-28
72.89423370361328,2016-01-29
73.81640625,2016-02-01
72.63955688476562,2016-02-02
75.87149047851562,2016-02-03
76.12615966796875,2016-02-04
74.77367401123047,2016-02-05
74.87906646728516,2016-02-08
76.62676239013672,2016-02-09
77.10980224609375,2016-02-10
76.723388671875,2016-02-11
78.55013275146484,2016-02-12
80.05192565917969,2016-02-16
78.47988891601562,2016-02-17
78.1549072265625,2016-02-18
76.79364013671875,2016-02-19
78.25153350830078,2016-02-22
77.59284210205078,2016-02-23
78.47988891601562,2016-02-24
79.1824722290039,2016-02-25
77.37329864501953,2016-02-26
76.62676239013672,2016-02-29
78.76969909667969,2016-03-01
77.98806762695312,2016-03-02
77.13615417480469,2016-03-03
76.5916519165039,2016-03-04
78.73455810546875,2016-03-07
77.86510467529297,2016-03-08
77.13615417480469,2016-03-09
77.84751892089844,2016-03-10
78.73455810546875,2016-03-11
79.82882690429688,2016-03-14
78.92869567871094,2016-03-15
79.66998291015625,2016-03-16
79.00812530517578,2016-03-17
79.66117095947266,2016-03-18
81.77909088134766,2016-03-21
82.70571899414062,2016-03-22
79.49349975585938,2016-03-23
80.5877685546875,2016-03-24
81.59378814697266,2016-03-28
81.36434936523438,2016-03-29
81.16138458251953,2016-03-30
81.06429290771484,2016-03-31
83.05870819091797,2016-04-01
83.16458892822266,2016-04-04
84.33829498291016,2016-04-05
85.98854064941406,2016-04-06
84.33829498291016,2016-04-07
84.79715728759766,2016-04-08
84.56773376464844,2016-04-11
85.81200408935547,2016-04-12
85.76791381835938,2016-04-13
86.65037536621094,2016-04-14
86.73860931396484,2016-04-15
87.54167175292969,2016-04-18
87.75348663330078,2016-04-19
88.34473419189453,2016-04-20
89.78316497802734,2016-04-21
89.95083618164062,2016-04-22
90.26852416992188,2016-04-25
89.4213638305664,2016-04-26
88.8830337524414,2016-04-27
85.60023498535156,2016-04-28
77.84326934814453,2016-04-29
78.5404281616211,2016-05-02
76.92547607421875,2016-05-03
75.53999328613281,2016-05-04
75.76943969726562,2016-05-05
74.72809600830078,2016-05-06
75.60176086425781,2016-05-09
76.05182647705078,2016-05-10
74.03980255126953,2016-05-11
73.03376770019531,2016-05-12
72.98081970214844,2016-05-13
73.78386688232422,2016-05-16
73.03376770019531,2016-05-17
73.13965606689453,2016-05-18
72.48663330078125,2016-05-19
