TBIO,Date
11.520000457763672,2018-06-28
12.649999618530273,2018-06-29
13.0,2018-07-02
12.920000076293945,2018-07-03
13.170000076293945,2018-07-05
13.25,2018-07-06
13.300000190734863,2018-07-09
13.010000228881836,2018-07-10
13.0,2018-07-11
13.0,2018-07-12
12.850000381469727,2018-07-13
13.0,2018-07-16
13.010000228881836,2018-07-17
14.100000381469727,2018-07-18
14.680000305175781,2018-07-19
15.9399995803833,2018-07-20
15.899999618530273,2018-07-23
15.359999656677246,2018-07-24
15.569999694824219,2018-07-25
14.380000114440918,2018-07-26
14.399999618530273,2018-07-27
12.210000038146973,2018-07-30
11.010000228881836,2018-07-31
11.470000267028809,2018-08-01
11.050000190734863,2018-08-02
11.010000228881836,2018-08-03
9.670000076293945,2018-08-06
10.430000305175781,2018-08-07
10.5,2018-08-08
10.210000038146973,2018-08-09
10.449999809265137,2018-08-10
10.25,2018-08-13
10.550000190734863,2018-08-14
11.729999542236328,2018-08-15
10.600000381469727,2018-08-16
10.479999542236328,2018-08-17
10.5,2018-08-20
10.489999771118164,2018-08-21
10.649999618530273,2018-08-22
10.800000190734863,2018-08-23
10.859999656677246,2018-08-24
10.739999771118164,2018-08-27
10.699999809265137,2018-08-28
10.899999618530273,2018-08-29
10.819999694824219,2018-08-30
10.609999656677246,2018-08-31
10.34000015258789,2018-09-04
11.050000190734863,2018-09-05
11.09000015258789,2018-09-06
11.569999694824219,2018-09-07
11.539999961853027,2018-09-10
11.329999923706055,2018-09-11
11.210000038146973,2018-09-12
10.899999618530273,2018-09-13
10.65999984741211,2018-09-14
10.529999732971191,2018-09-17
10.350000381469727,2018-09-18
10.34000015258789,2018-09-19
10.359999656677246,2018-09-20
9.989999771118164,2018-09-21
9.930000305175781,2018-09-24
9.930000305175781,2018-09-25
9.899999618530273,2018-09-26
9.949999809265137,2018-09-27
10.0,2018-09-28
9.949999809265137,2018-10-01
9.90999984741211,2018-10-02
9.859999656677246,2018-10-03
9.15999984741211,2018-10-04
8.760000228881836,2018-10-05
8.84000015258789,2018-10-08
8.5600004196167,2018-10-09
8.0,2018-10-10
7.699999809265137,2018-10-11
7.460000038146973,2018-10-12
7.150000095367432,2018-10-15
7.130000114440918,2018-10-16
6.880000114440918,2018-10-17
6.960000038146973,2018-10-18
5.820000171661377,2018-10-19
5.739999771118164,2018-10-22
5.460000038146973,2018-10-23
5.159999847412109,2018-10-24
5.679999828338623,2018-10-25
5.539999961853027,2018-10-26
5.389999866485596,2018-10-29
5.489999771118164,2018-10-30
5.630000114440918,2018-10-31
5.849999904632568,2018-11-01
5.929999828338623,2018-11-02
6.53000020980835,2018-11-05
6.590000152587891,2018-11-06
6.75,2018-11-07
6.789999961853027,2018-11-08
6.5,2018-11-09
5.989999771118164,2018-11-12
6.289999961853027,2018-11-13
5.909999847412109,2018-11-14
7.329999923706055,2018-11-15
6.800000190734863,2018-11-16
6.840000152587891,2018-11-19
6.989999771118164,2018-11-20
6.989999771118164,2018-11-21
6.980000019073486,2018-11-23
6.789999961853027,2018-11-26
6.630000114440918,2018-11-27
7.349999904632568,2018-11-28
7.590000152587891,2018-11-29
7.230000019073486,2018-11-30
7.75,2018-12-03
8.210000038146973,2018-12-04
8.449999809265137,2018-12-06
8.529999732971191,2018-12-07
8.510000228881836,2018-12-10
9.0600004196167,2018-12-11
9.0,2018-12-12
8.729999542236328,2018-12-13
8.1899995803833,2018-12-14
8.350000381469727,2018-12-17
8.149999618530273,2018-12-18
7.889999866485596,2018-12-19
7.369999885559082,2018-12-20
8.199999809265137,2018-12-21
8.050000190734863,2018-12-24
8.0600004196167,2018-12-26
7.369999885559082,2018-12-27
7.28000020980835,2018-12-28
7.5,2018-12-31
7.489999771118164,2019-01-02
6.78000020980835,2019-01-03
8.380000114440918,2019-01-04
7.320000171661377,2019-01-07
6.900000095367432,2019-01-08
6.789999961853027,2019-01-09
6.150000095367432,2019-01-10
6.130000114440918,2019-01-11
5.800000190734863,2019-01-14
5.699999809265137,2019-01-15
5.650000095367432,2019-01-16
5.75,2019-01-17
5.53000020980835,2019-01-18
4.900000095367432,2019-01-22
5.28000020980835,2019-01-23
5.480000019073486,2019-01-24
5.710000038146973,2019-01-25
5.610000133514404,2019-01-28
5.5,2019-01-29
5.659999847412109,2019-01-30
5.679999828338623,2019-01-31
5.71999979019165,2019-02-01
5.820000171661377,2019-02-04
6.099999904632568,2019-02-05
6.429999828338623,2019-02-06
6.519999980926514,2019-02-07
6.769999980926514,2019-02-08
6.900000095367432,2019-02-11
7.230000019073486,2019-02-12
7.380000114440918,2019-02-13
7.369999885559082,2019-02-14
9.350000381469727,2019-02-15
8.3100004196167,2019-02-19
8.539999961853027,2019-02-20
8.449999809265137,2019-02-21
8.699999809265137,2019-02-22
9.010000228881836,2019-02-25
9.800000190734863,2019-02-26
9.920000076293945,2019-02-27
10.199999809265137,2019-02-28
10.229999542236328,2019-03-01
9.220000267028809,2019-03-04
9.40999984741211,2019-03-05
9.020000457763672,2019-03-06
9.84000015258789,2019-03-07
7.949999809265137,2019-03-08
7.760000228881836,2019-03-11
7.619999885559082,2019-03-12
7.880000114440918,2019-03-13
7.880000114440918,2019-03-14
8.300000190734863,2019-03-15
9.609999656677246,2019-03-18
10.029999732971191,2019-03-19
9.600000381469727,2019-03-20
9.920000076293945,2019-03-21
8.960000038146973,2019-03-22
9.0600004196167,2019-03-25
9.359999656677246,2019-03-26
9.319999694824219,2019-03-27
9.850000381469727,2019-03-28
10.1899995803833,2019-03-29
12.770000457763672,2019-04-01
