GSK,Date
32.48033142089844,2016-01-04
32.66501998901367,2016-01-05
32.31171417236328,2016-01-06
31.324050903320312,2016-01-07
31.653270721435547,2016-01-08
31.54888153076172,2016-01-11
31.677358627319336,2016-01-12
31.444490432739258,2016-01-13
32.34382629394531,2016-01-14
31.2357177734375,2016-01-15
31.540857315063477,2016-01-19
31.275880813598633,2016-01-20
31.3481388092041,2016-01-21
32.143089294433594,2016-01-22
31.862037658691406,2016-01-25
32.78546142578125,2016-01-26
32.600772857666016,2016-01-27
32.632896423339844,2016-01-28
33.15483474731445,2016-01-29
33.22709655761719,2016-02-01
32.8416748046875,2016-02-02
33.76509475708008,2016-02-03
32.905914306640625,2016-02-04
32.72925567626953,2016-02-05
31.693416595458984,2016-02-08
31.589033126831055,2016-02-09
31.42041015625,2016-02-10
31.43647003173828,2016-02-11
31.926271438598633,2016-02-12
32.48836135864258,2016-02-16
32.15867233276367,2016-02-17
32.134185791015625,2016-02-18
32.4525032043457,2016-02-19
32.12602233886719,2016-02-22
31.538349151611328,2016-02-23
31.45673370361328,2016-02-24
32.240291595458984,2016-02-25
31.946453094482422,2016-02-26
31.562837600708008,2016-02-29
32.370887756347656,2016-03-01
32.15867233276367,2016-03-02
31.979103088378906,2016-03-03
31.946453094482422,2016-03-04
32.09337615966797,2016-03-07
32.41169738769531,2016-03-08
32.632076263427734,2016-03-09
32.40353775024414,2016-03-10
32.9340705871582,2016-03-11
32.9911994934082,2016-03-14
32.65656280517578,2016-03-15
32.689208984375,2016-03-16
33.25239562988281,2016-03-17
32.71369171142578,2016-03-18
32.62391662597656,2016-03-21
32.48515701293945,2016-03-22
32.134185791015625,2016-03-23
32.289268493652344,2016-03-24
32.281105041503906,2016-03-28
32.84429931640625,2016-03-29
33.21974563598633,2016-03-30
33.09731674194336,2016-03-31
32.92591094970703,2016-04-01
33.44012451171875,2016-04-04
32.94223403930664,2016-04-05
34.019630432128906,2016-04-06
33.89720153808594,2016-04-07
33.913516998291016,2016-04-08
33.986976623535156,2016-04-11
34.50934982299805,2016-04-12
34.70524978637695,2016-04-13
34.80318832397461,2016-04-14
34.999080657958984,2016-04-15
35.22761535644531,2016-04-18
35.33372116088867,2016-04-19
35.113346099853516,2016-04-20
35.21945571899414,2016-04-21
35.15415573120117,2016-04-22
35.07254409790039,2016-04-25
34.86032485961914,2016-04-26
35.480648040771484,2016-04-27
35.390865325927734,2016-04-28
35.02356719970703,2016-04-29
35.33372116088867,2016-05-02
35.211299896240234,2016-05-03
34.56649398803711,2016-05-04
34.62362289428711,2016-05-05
34.386924743652344,2016-05-06
34.729732513427734,2016-05-09
35.113346099853516,2016-05-10
34.88228225708008,2016-05-11
34.74189758300781,2016-05-12
34.609764099121094,2016-05-13
34.97312545776367,2016-05-16
34.750152587890625,2016-05-17
35.0391845703125,2016-05-18
34.53544998168945,2016-05-19
34.69234848022461,2016-05-20
34.69234848022461,2016-05-23
35.270416259765625,2016-05-24
35.6089973449707,2016-05-25
35.58422088623047,2016-05-26
35.303443908691406,2016-05-27
34.98963928222656,2016-05-31
34.816219329833984,2016-06-01
35.022666931152344,2016-06-02
35.41905975341797,2016-06-03
35.38602828979492,2016-06-06
35.26215362548828,2016-06-07
35.105255126953125,2016-06-08
34.733642578125,2016-06-09
33.80047607421875,2016-06-10
33.7178955078125,2016-06-13
33.073753356933594,2016-06-14
33.06550216674805,2016-06-15
33.50318145751953,2016-06-16
33.304988861083984,2016-06-17
34.26292419433594,2016-06-20
34.39505386352539,2016-06-21
34.48589324951172,2016-06-22
35.146549224853516,2016-06-23
33.69312286376953,2016-06-24
33.1480827331543,2016-06-27
34.130802154541016,2016-06-28
35.063961029052734,2016-06-29
35.790672302246094,2016-06-30
35.65028381347656,2016-07-01
35.92280960083008,2016-07-05
36.04668045043945,2016-07-06
35.790672302246094,2016-07-07
35.823707580566406,2016-07-08
35.9393310546875,2016-07-11
36.104488372802734,2016-07-12
36.129268646240234,2016-07-13
36.22835922241211,2016-07-14
36.2696418762207,2016-07-15
36.52565002441406,2016-07-18
36.09622573852539,2016-07-19
36.41829299926758,2016-07-20
36.00539016723633,2016-07-21
36.23661804199219,2016-07-22
36.36874008178711,2016-07-25
36.467830657958984,2016-07-26
37.260616302490234,2016-07-27
37.31017303466797,2016-07-28
37.219337463378906,2016-07-29
37.367977142333984,2016-08-01
37.5661735534668,2016-08-02
37.186302185058594,2016-08-03
37.22759246826172,2016-08-04
37.070682525634766,2016-08-05
36.67429733276367,2016-08-08
36.666038513183594,2016-08-09
36.830055236816406,2016-08-10
37.04704666137695,2016-08-11
36.863441467285156,2016-08-12
37.05539321899414,2016-08-15
36.988624572753906,2016-08-16
37.04704666137695,2016-08-17
37.1305046081543,2016-08-18
36.855098724365234,2016-08-19
36.82170486450195,2016-08-22
37.06373596191406,2016-08-23
36.63810348510742,2016-08-24
36.50456619262695,2016-08-25
36.34599685668945,2016-08-26
36.39607238769531,2016-08-29
36.18742752075195,2016-08-30
36.270877838134766,2016-08-31
35.87028503417969,2016-09-01
36.93855285644531,2016-09-02
36.71321487426758,2016-09-06
36.57134246826172,2016-09-07
36.42946243286133,2016-09-08
35.469696044921875,2016-09-09
36.137351989746094,2016-09-12
35.47802734375,2016-09-13
36.01216506958008,2016-09-14
36.337650299072266,2016-09-15
35.78683090209961,2016-09-16
36.137351989746094,2016-09-19
35.93705368041992,2016-09-20
36.06224060058594,2016-09-21
36.371036529541016,2016-09-22
36.23750305175781,2016-09-23
35.85359191894531,2016-09-26
36.15404510498047,2016-09-27
36.446144104003906,2016-09-28
35.80352020263672,2016-09-29
35.995479583740234,2016-09-30
36.07059097290039,2016-10-03
36.25419235229492,2016-10-04
36.16238784790039,2016-10-05
35.80352020263672,2016-10-06
35.85359191894531,2016-10-07
35.92036437988281,2016-10-10
35.16923522949219,2016-10-11
35.11915969848633,2016-10-12
35.37788009643555,2016-10-13
34.785335540771484,2016-10-14
34.37638473510742,2016-10-17
34.85209655761719,2016-10-18
34.626766204833984,2016-10-19
34.576683044433594,2016-10-20
34.32630920410156,2016-10-21
33.95074462890625,2016-10-24
33.65029525756836,2016-10-25
33.666996002197266,2016-10-26
33.73375701904297,2016-10-27
33.50007247924805,2016-10-28
33.39158630371094,2016-10-31
33.25804901123047,2016-11-01
33.34424591064453,2016-11-02
32.71096420288086,2016-11-03
32.61808395385742,2016-11-04
32.79540252685547,2016-11-07
33.0487060546875,2016-11-08
34.11261749267578,2016-11-09
33.69044494628906,2016-11-10
33.0909309387207,2016-11-11
32.913612365722656,2016-11-14
32.871395111083984,2016-11-15
32.23811721801758,2016-11-16
32.46609878540039,2016-11-17
32.179012298583984,2016-11-18
32.449214935302734,2016-11-21
32.119903564453125,2016-11-22
32.170570373535156,2016-11-23
32.81229019165039,2016-11-25
32.33099365234375,2016-11-28
32.31410217285156,2016-11-29
