INO,Date
6.400000095367432,2016-01-04
6.300000190734863,2016-01-05
6.119999885559082,2016-01-06
5.75,2016-01-07
5.760000228881836,2016-01-08
5.349999904632568,2016-01-11
5.539999961853027,2016-01-12
5.170000076293945,2016-01-13
5.159999847412109,2016-01-14
5.210000038146973,2016-01-15
4.920000076293945,2016-01-19
4.989999771118164,2016-01-20
5.059999942779541,2016-01-21
5.070000171661377,2016-01-22
5.139999866485596,2016-01-25
5.239999771118164,2016-01-26
5.369999885559082,2016-01-27
5.78000020980835,2016-01-28
6.679999828338623,2016-01-29
6.730000019073486,2016-02-01
6.5,2016-02-02
6.039999961853027,2016-02-03
6.260000228881836,2016-02-04
6.010000228881836,2016-02-05
6.0,2016-02-08
5.840000152587891,2016-02-09
5.78000020980835,2016-02-10
6.190000057220459,2016-02-11
6.269999980926514,2016-02-12
6.570000171661377,2016-02-16
6.920000076293945,2016-02-17
6.449999809265137,2016-02-18
6.449999809265137,2016-02-19
6.679999828338623,2016-02-22
6.440000057220459,2016-02-23
6.449999809265137,2016-02-24
6.480000019073486,2016-02-25
6.5,2016-02-26
6.300000190734863,2016-02-29
6.579999923706055,2016-03-01
6.96999979019165,2016-03-02
7.039999961853027,2016-03-03
7.0,2016-03-04
7.480000019073486,2016-03-07
6.900000095367432,2016-03-08
7.019999980926514,2016-03-09
6.699999809265137,2016-03-10
6.880000114440918,2016-03-11
6.679999828338623,2016-03-14
6.539999961853027,2016-03-15
6.579999923706055,2016-03-16
6.980000019073486,2016-03-17
7.119999885559082,2016-03-18
7.25,2016-03-21
7.849999904632568,2016-03-22
7.619999885559082,2016-03-23
7.900000095367432,2016-03-24
8.020000457763672,2016-03-28
8.140000343322754,2016-03-29
8.630000114440918,2016-03-30
8.710000038146973,2016-03-31
9.25,2016-04-01
9.65999984741211,2016-04-04
8.890000343322754,2016-04-05
9.479999542236328,2016-04-06
9.34000015258789,2016-04-07
9.210000038146973,2016-04-08
9.050000190734863,2016-04-11
9.300000190734863,2016-04-12
9.279999732971191,2016-04-13
9.529999732971191,2016-04-14
9.489999771118164,2016-04-15
10.069999694824219,2016-04-18
10.0,2016-04-19
9.739999771118164,2016-04-20
10.1899995803833,2016-04-21
10.329999923706055,2016-04-22
10.489999771118164,2016-04-25
10.470000267028809,2016-04-26
10.930000305175781,2016-04-27
11.180000305175781,2016-04-28
10.479999542236328,2016-04-29
10.880000114440918,2016-05-02
10.359999656677246,2016-05-03
9.390000343322754,2016-05-04
9.079999923706055,2016-05-05
8.960000038146973,2016-05-06
9.520000457763672,2016-05-09
9.380000114440918,2016-05-10
9.489999771118164,2016-05-11
9.390000343322754,2016-05-12
9.329999923706055,2016-05-13
9.930000305175781,2016-05-16
10.0600004196167,2016-05-17
10.3100004196167,2016-05-18
10.100000381469727,2016-05-19
10.449999809265137,2016-05-20
10.8100004196167,2016-05-23
11.130000114440918,2016-05-24
11.15999984741211,2016-05-25
10.6899995803833,2016-05-26
10.609999656677246,2016-05-27
11.319999694824219,2016-05-31
11.229999542236328,2016-06-01
11.390000343322754,2016-06-02
11.079999923706055,2016-06-03
11.329999923706055,2016-06-06
11.09000015258789,2016-06-07
11.239999771118164,2016-06-08
11.010000228881836,2016-06-09
10.619999885559082,2016-06-10
10.199999809265137,2016-06-13
10.270000457763672,2016-06-14
10.6899995803833,2016-06-15
10.739999771118164,2016-06-16
10.470000267028809,2016-06-17
11.199999809265137,2016-06-20
11.260000228881836,2016-06-21
10.199999809265137,2016-06-22
9.850000381469727,2016-06-23
9.170000076293945,2016-06-24
8.289999961853027,2016-06-27
9.210000038146973,2016-06-28
9.430000305175781,2016-06-29
9.239999771118164,2016-06-30
9.350000381469727,2016-07-01
9.170000076293945,2016-07-05
9.199999809265137,2016-07-06
9.079999923706055,2016-07-07
9.109999656677246,2016-07-08
9.119999885559082,2016-07-11
9.079999923706055,2016-07-12
8.680000305175781,2016-07-13
8.8100004196167,2016-07-14
8.880000114440918,2016-07-15
9.09000015258789,2016-07-18
8.8100004196167,2016-07-19
9.220000267028809,2016-07-20
9.050000190734863,2016-07-21
9.130000114440918,2016-07-22
9.149999618530273,2016-07-25
9.550000190734863,2016-07-26
9.649999618530273,2016-07-27
9.619999885559082,2016-07-28
9.880000114440918,2016-07-29
10.420000076293945,2016-08-01
10.15999984741211,2016-08-02
9.600000381469727,2016-08-03
9.640000343322754,2016-08-04
9.850000381469727,2016-08-05
9.350000381469727,2016-08-08
9.050000190734863,2016-08-09
8.779999732971191,2016-08-10
8.960000038146973,2016-08-11
8.949999809265137,2016-08-12
8.880000114440918,2016-08-15
8.760000228881836,2016-08-16
8.579999923706055,2016-08-17
8.6899995803833,2016-08-18
8.569999694824219,2016-08-19
9.0600004196167,2016-08-22
9.140000343322754,2016-08-23
8.569999694824219,2016-08-24
8.670000076293945,2016-08-25
8.859999656677246,2016-08-26
9.270000457763672,2016-08-29
9.449999809265137,2016-08-30
9.170000076293945,2016-08-31
9.140000343322754,2016-09-01
9.079999923706055,2016-09-02
9.0,2016-09-06
9.050000190734863,2016-09-07
8.9399995803833,2016-09-08
8.520000457763672,2016-09-09
9.270000457763672,2016-09-12
9.220000267028809,2016-09-13
9.470000267028809,2016-09-14
9.479999542236328,2016-09-15
9.239999771118164,2016-09-16
9.210000038146973,2016-09-19
9.369999885559082,2016-09-20
9.800000190734863,2016-09-21
9.739999771118164,2016-09-22
9.5,2016-09-23
9.4399995803833,2016-09-26
9.59000015258789,2016-09-27
9.539999961853027,2016-09-28
9.260000228881836,2016-09-29
9.319999694824219,2016-09-30
9.520000457763672,2016-10-03
9.399999618530273,2016-10-04
9.430000305175781,2016-10-05
9.359999656677246,2016-10-06
9.34000015258789,2016-10-07
9.5,2016-10-10
9.069999694824219,2016-10-11
8.84000015258789,2016-10-12
8.75,2016-10-13
8.539999961853027,2016-10-14
8.149999618530273,2016-10-17
8.270000457763672,2016-10-18
8.170000076293945,2016-10-19
8.390000343322754,2016-10-20
8.359999656677246,2016-10-21
6.989999771118164,2016-10-24
6.820000171661377,2016-10-25
6.800000190734863,2016-10-26
6.409999847412109,2016-10-27
6.429999828338623,2016-10-28
6.46999979019165,2016-10-31
6.590000152587891,2016-11-01
6.5,2016-11-02
5.980000019073486,2016-11-03
6.340000152587891,2016-11-04
6.570000171661377,2016-11-07
6.570000171661377,2016-11-08
7.429999828338623,2016-11-09
7.800000190734863,2016-11-10
7.820000171661377,2016-11-11
8.329999923706055,2016-11-14
8.050000190734863,2016-11-15
7.769999980926514,2016-11-16
8.020000457763672,2016-11-17
7.980000019073486,2016-11-18
7.960000038146973,2016-11-21
7.760000228881836,2016-11-22
7.75,2016-11-23
7.679999828338623,2016-11-25
7.150000095367432,2016-11-28
7.150000095367432,2016-11-29
7.079999923706055,2016-11-30
6.820000171661377,2016-12-01
6.860000133514404,2016-12-02
7.079999923706055,2016-12-05
7.309999942779541,2016-12-06
6.96999979019165,2016-12-07
7.130000114440918,2016-12-08
7.139999866485596,2016-12-09
7.03000020980835,2016-12-12
7.059999942779541,2016-12-13
6.940000057220459,2016-12-14
6.940000057220459,2016-12-15
6.920000076293945,2016-12-16
6.949999809265137,2016-12-19
6.929999828338623,2016-12-20
7.03000020980835,2016-12-21
6.909999847412109,2016-12-22
7.309999942779541,2016-12-23
7.190000057220459,2016-12-27
7.039999961853027,2016-12-28
6.920000076293945,2016-12-29
